latitude,longitude
11.2553292,124.7455851
11.2544279,124.7457246
11.2538003,124.7460732
11.2530599,124.7465185
11.2524644,124.7468779
11.2518421,124.7473071
11.2512466,124.7476665
11.2506189,124.7480313
11.250061,124.7483639
11.2496157,124.7486589
11.2491812,124.7489485
11.2486608,124.7492544
11.2483067,124.749469
11.2476522,124.7497908
11.2472767,124.7500966
11.2474591,124.7504936
11.2476361,124.7507081
11.2480868,124.7510676
11.2486125,124.7513197
11.2491115,124.7516201
11.2496479,124.751942
11.2502864,124.7522638
11.2510213,124.7526876
11.2517134,124.7530524
11.2524591,124.7534762
11.2529312,124.753739
11.2535213,124.7540555
11.2543958,124.7541735
11.25534,124.7540019
11.2562359,124.7539482
11.257223,124.7539053
11.2581887,124.7538785
11.2590524,124.7538087
11.2600127,124.7538355
11.2608872,124.7538409
11.2618689,124.7538033
11.2628936,124.7537926
11.2638646,124.7537765
11.2648786,124.7537658
11.2658389,124.7537765
11.266885,124.7537443
11.2679633,124.7537604
11.2688163,124.7537711
11.2697552,124.7537228
11.2706511,124.7537228
11.2714987,124.7536906
11.2724805,124.7536638
11.2734408,124.7536048
11.2743206,124.7535726
11.2752165,124.753519
11.276091,124.7535404
11.2769976,124.7534868
11.2777809,124.7534546
11.2785588,124.753417
11.2793743,124.753417
11.2801682,124.7533795
11.2807906,124.7533687
11.2812627,124.7541627
11.281767,124.7549834
11.2825019,124.7555842
11.283253,124.7561958
11.2840685,124.7568985
11.2849644,124.7576817
11.2854579,124.75854
11.2859783,124.7594305
11.2864075,124.7601654
11.2869333,124.761013
11.2874483,124.7618552
11.2880706,124.7622629
11.2887359,124.7627189
11.2893743,124.7631641
11.2900127,124.763663
11.2906135,124.7641458
11.2912895,124.7646447
11.2918474,124.7649719
11.2926146,124.7651543
11.2934301,124.7652831
11.2943796,124.7654118
11.295179,124.765562
11.2960266,124.7656693
11.2968152,124.7657819
11.2976575,124.7659053
11.29843,124.7660663
11.2992401,124.7661414
11.3000448,124.7663076
11.3007852,124.7661306
11.3017777,124.7658517
11.3026253,124.7656639
11.3035802,124.7653474
11.3045191,124.7655405
11.3050824,124.7656478
11.3064182,124.7650416
11.3073517,124.7647948
11.3082583,124.7645213
11.3088216,124.7646124
11.3091543,124.7638722
11.3095191,124.7632284
11.3103828,124.7623594
11.3108012,124.7618819
11.3112304,124.7615279
11.3120137,124.7610558
11.3128667,124.7604979
11.3136016,124.7601117
11.3142347,124.7597576
11.3149375,124.7592963
11.3152701,124.7583897
11.315651,124.7575153
11.3160855,124.7565819
11.316445,124.755745
11.3168259,124.7548545
11.3172175,124.7539533
11.317593,124.7530467
11.3179632,124.7522152
11.3183548,124.7513837
11.3187142,124.750622
11.3191059,124.7497261
11.3195833,124.7487176
11.3199857,124.7478486
11.3203398,124.7469956
11.3207475,124.7461105
11.3211391,124.74522
11.3215361,124.7442812
11.3219009,124.7434819
11.3223193,124.7425592
11.3226198,124.741835
11.3230704,124.7408265
11.3233923,124.740113
11.3235318,124.7395283
11.3233708,124.7390938
11.3231562,124.7386164
11.3229953,124.7382248
11.3228236,124.737801
11.3226519,124.7374469
11.3225232,124.7370499
11.3224213,124.7367549
11.3222764,124.7364277
11.322153,124.736079
11.3219491,124.7355801
11.3215951,124.7350061
11.3214717,124.7347111
11.3209298,124.7332466
11.320624,124.7327691
11.3201608,124.7316336
11.31973695,124.7306626
11.3193131,124.7296916
11.31888925,124.7287206
11.3201841,124.7303659
11.32005,124.7300655
11.3238,124.7265196
11.3231669,124.7269273
11.3223246,124.7276407
11.3214877,124.7283328
11.3207152,124.7289872
11.3199212,124.7296524
11.3192506,124.7301352
11.3190146,124.729631
11.3188161,124.7292233
11.3184083,124.728365
11.3179201,124.727394
11.3174749,124.7264606
11.317051,124.7255755
11.3165521,124.7245669
11.316359,124.723655
11.3161766,124.7227645
11.3155972,124.7219437
11.3152055,124.7214556
11.3146476,124.7208065
11.3139502,124.7199911
11.3133225,124.719283
11.3125768,124.7184514
11.3119008,124.7176951
11.3111605,124.7168744
11.3104791,124.7160858
11.3098622,124.7154099
11.3091057,124.7145731
11.3085961,124.7139883
11.3082635,124.7136075
11.307668,124.7129315
11.3073514,124.7125346
11.3068954,124.7118855
11.3085534,124.7651703
11.3082476,124.7657122
11.3079472,124.7664042
11.3076414,124.7669674
11.3076253,124.7676755
11.3075448,124.7684427
11.3075502,124.7692205
11.3074161,124.7701593
11.3073624,124.7709425
11.307341,124.7716667
11.3071479,124.7728522
11.3070513,124.7735013
11.307105,124.7742738
11.3069172,124.775057
11.3067241,124.7758348
11.3066919,124.7760011
11.3064773,124.7765161
11.3062412,124.7772135
11.3060266,124.7778304
11.3054151,124.7782542
11.3049108,124.7785653
11.3044762,124.7792305
11.3041436,124.7798421
11.3037091,124.7804751
11.3033925,124.7809525
11.3030921,124.7814996
11.3027702,124.7819074
11.3027059,124.7828515
11.3026683,124.7835757
11.3026093,124.7843428
11.3024269,124.7854962
11.3027381,124.7865852
11.3030224,124.787481
11.302781,124.7880175
11.3026254,124.7888972
11.3025664,124.7894551
11.3024967,124.790056
11.3024162,124.7905549
11.3023035,124.7912683
11.3019441,124.7918101
11.3015149,124.7924485
11.3010804,124.7931298
11.3006834,124.7937466
11.3002274,124.7944387
11.299766,124.7950985
11.2992403,124.7958388
11.2987843,124.7965362
11.2982424,124.7972872
11.2976845,124.7980061
11.2972124,124.7985693
11.2967939,124.7991058
11.2962038,124.7997334
11.2959034,124.8001733
11.2953669,124.8008439
11.295147,124.8017451
11.2952167,124.8025122
11.2953508,124.80329
11.2953079,124.8037246
11.2951738,124.8043951
11.295045,124.8051676
11.2950182,124.8059347
11.2948841,124.8068198
11.2948036,124.8073724
11.2947393,124.8079946
11.2947339,124.8087135
11.29475,124.8094055
11.2947446,124.8102692
11.2946749,124.8110846
11.2947071,124.8122486
11.2947071,124.8131874
11.2947232,124.8140404
11.2947393,124.8149523
11.2947018,124.8159394
11.2947018,124.8165616
11.2947286,124.8173878
11.2946803,124.8184392
11.2946857,124.8195335
11.2946696,124.8207674
11.2946589,124.8218027
11.2946481,124.8228488
11.2946428,124.8238036
11.2946374,124.824737
11.2946106,124.825311
11.2948198,124.8258367
11.2949486,124.8262175
11.2952383,124.8268238
11.2954529,124.8273173
11.2957211,124.8278645
11.2958982,124.828358
11.2955763,124.8285833
11.2952866,124.828873
11.2947877,124.8293612
11.2944443,124.8297689
11.2941385,124.8300639
11.293704,124.8304662
11.2933284,124.8305145
11.2928349,124.8306594
11.2922984,124.8308364
11.2918102,124.8310027
11.2914132,124.8311529
11.2909787,124.8313299
11.290292,124.8315445
11.2897126,124.8315338
11.2890366,124.8315928
11.2883446,124.8315499
11.2876471,124.831507
11.2868585,124.8314319
11.2859197,124.8313568
11.2849594,124.8313139
11.2840152,124.8312763
11.2829154,124.8312441
11.2819014,124.8311476
11.2807641,124.8310135
11.2799111,124.8308096
11.2788113,124.8304449
11.2778403,124.8301766
11.2769873,124.8300425
11.2762791,124.8299138
11.2754315,124.8299996
11.2743639,124.8301337
11.2734304,124.8303859
11.2726847,124.8305361
11.27266327,124.8310833
11.27248623,124.8311262
11.2716279,124.830756
11.2707641,124.8309921
11.2701418,124.8311423
11.2695946,124.8312871
11.268527,124.8312925
11.267556,124.8313086
11.2666976,124.8313354
11.2656515,124.8313086
11.2647609,124.8312818
11.2641118,124.8312871
11.2634466,124.831196
11.2628833,124.8311155
11.261939,124.8309116
11.261086,124.8307185
11.2603028,124.8305576
11.2595517,124.830402
